Temperature,Groupsize,Replicate,loom,latency
9,1,1,1,[nan]
9,1,1,2,[nan]
9,1,1,3,[nan]
9,1,1,4,[nan]
9,1,1,5,[nan]
9,1,2,1,[nan]
9,1,2,2,[nan]
9,1,2,3,[nan]
9,1,2,4,[601.]
9,1,2,5,[nan]
9,1,3,1,[nan]
9,1,3,2,[575.]
9,1,3,3,[nan]
9,1,3,4,[nan]
9,1,3,5,[594.]
9,1,4,1,[574.]
9,1,4,2,[572.]
9,1,4,3,[nan]
9,1,4,4,[nan]
9,1,4,5,[590.]
9,1,5,1,[nan]
9,1,5,2,[nan]
9,1,5,3,[nan]
9,1,5,4,[nan]
9,1,5,5,[nan]
9,1,6,1,[nan]
9,1,6,2,[585.]
9,1,6,3,[nan]
9,1,6,4,[586.]
9,1,6,5,[nan]
9,1,7,1,[nan]
9,1,7,2,[589.]
9,1,7,3,[nan]
9,1,7,4,[592.]
9,1,7,5,[nan]
9,1,8,1,[580.]
9,1,8,2,[629.]
9,1,8,3,[nan]
9,1,8,4,[nan]
9,1,8,5,[nan]
9,2,1,1,[nan]
9,2,1,2,[nan]
9,2,1,3,[595.]
9,2,1,4,[602.]
9,2,1,5,[639.]
9,2,2,1,[nan]
9,2,2,2,[602.]
9,2,2,3,[nan]
9,2,2,4,[599.]
9,2,2,5,[nan]
9,2,3,1,[nan]
9,2,3,2,[nan]
9,2,3,3,[nan]
9,2,3,4,[590.]
9,2,3,5,[nan]
9,2,4,1,[nan]
9,2,4,2,[nan]
9,2,4,3,[nan]
9,2,4,4,[599.]
9,2,4,5,[593.]
9,2,5,1,[nan]
9,2,5,2,[nan]
9,2,5,3,[nan]
9,2,5,4,[nan]
9,2,5,5,[596.]
9,2,6,1,[nan]
9,2,6,2,[621.]
9,2,6,3,[nan]
9,2,6,4,[nan]
9,2,6,5,[nan]
9,2,7,1,[589.]
9,2,7,2,[569.]
9,2,7,3,[594.]
9,2,7,4,[600.]
9,2,7,5,[nan]
9,2,8,1,[599.]
9,2,8,2,[591.]
9,2,8,3,[598.]
9,2,8,4,[nan]
9,2,8,5,[597.]
9,4,1,1,[632.]
9,4,1,2,[nan]
9,4,1,3,[nan]
9,4,1,4,[nan]
9,4,1,5,[596.]
9,4,2,1,[nan]
9,4,2,2,[590.]
9,4,2,3,[599.]
9,4,2,4,[589.]
9,4,2,5,[583.]
9,4,3,1,[588.]
9,4,3,2,[599.]
9,4,3,3,[599.]
9,4,3,4,[589.]
9,4,3,5,[nan]
9,4,4,1,[588.]
9,4,4,2,[577.]
9,4,4,3,[592.]
9,4,4,4,[583.]
9,4,4,5,[579.]
9,4,5,1,[590.]
9,4,5,2,[595.]
9,4,5,3,[596.]
9,4,5,4,[nan]
9,4,5,5,[599.]
9,4,6,1,[624.]
9,4,6,2,[583.]
9,4,6,3,[591.]
9,4,6,4,[nan]
9,4,6,5,[593.]
9,4,7,1,[596.]
9,4,7,2,[592.]
9,4,7,3,[596.]
9,4,7,4,[592.]
9,4,7,5,[598.]
9,4,8,1,[nan]
9,4,8,2,[585.]
9,4,8,3,[582.]
9,4,8,4,[585.]
9,4,8,5,[nan]
9,4,9,1,[606.]
9,4,9,2,[616.]
9,4,9,3,[555.]
9,4,9,4,[511.]
9,4,9,5,[nan]
9,4,10,1,[nan]
9,4,10,2,[585.]
9,4,10,3,[nan]
9,4,10,4,[650.]
9,4,10,5,[592.]
9,8,1,1,[597.]
9,8,1,2,[598.]
9,8,1,3,[nan]
9,8,1,4,[598.]
9,8,1,5,[581.]
9,8,2,1,[592.]
9,8,2,2,[nan]
9,8,2,3,[594.]
9,8,2,4,[582.]
9,8,2,5,[592.]
9,8,3,1,[599.]
9,8,3,2,[578.]
9,8,3,3,[nan]
9,8,3,4,[586.]
9,8,3,5,[588.]
9,8,4,1,[588.]
9,8,4,2,[597.]
9,8,4,3,[580.]
9,8,4,4,[585.]
9,8,4,5,[588.]
9,8,5,1,[nan]
9,8,5,2,[nan]
9,8,5,3,[nan]
9,8,5,4,[nan]
9,8,5,5,[nan]
9,8,6,1,[595.]
9,8,6,2,[588.]
9,8,6,3,[596.]
